TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
io.protostuff.ProtobufRepeatedMessagesTest.testEmptyFoo2,0,4,2,1,1,0.85,103,50,0,5,7,1,0,0.42,1,0,1
io.protostuff.ProtobufRepeatedMessagesTest.testEmptyFooInner,0,11,4,1,1,0.28,233,157,0,31,27,2,1,0.53,0.67,0,0
io.protostuff.ProtobufRepeatedMessagesTest.testEmptyFooInner2,0,11,4,1,1,0.28,276,157,0,33,25,2,1,0.57,0.67,0,0
io.protostuff.ProtobufRepeatedMessagesTest.testFoo,0,44,5,1,1,0.1,279,424,0,164,114,1,19,0.59,0.05,0,0
io.protostuff.ProtostuffBufferedOutputTest.testBar,0,32,4,1,1,0.04,139,212,0,71,41,2,5,0.63,0.29,0,0
io.protostuff.ProtostuffBufferedOutputTest.testBarDelimited,0,34,5,1,1,0.04,144,232,0,68,41,5,5,0.62,0.5,0,0
io.protostuff.ProtostuffBufferedOutputTest.testBarSkipMessage,0,36,4,1,1,0.03,143,243,0,79,48,7,4,0.62,0.64,0,0
io.protostuff.ProtostuffBufferedOutputTest.testBaz,0,15,4,1,1,0.09,50,122,0,37,31,0,4,0.54,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testBazDelimited,0,17,5,1,1,0.06,55,142,0,34,31,3,4,0.52,0.43,0,0
io.protostuff.ProtostuffBufferedOutputTest.testEmptyBar,0,5,3,1,1,0.24,54,52,0,2,7,0,0,0.22,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testEmptyBarDelimited,0,4,3,1,1,0.21,78,36,0,4,9,1,1,0.31,0.5,0,0
io.protostuff.ProtostuffBufferedOutputTest.testEmptyBarInner,0,10,4,1,1,0.11,80,101,0,11,18,0,3,0.38,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testEmptyBazDelimited,0,4,3,1,1,0.21,45,36,0,4,9,1,1,0.31,0.5,0,0
io.protostuff.ProtostuffBufferedOutputTest.testEmptyFoo,0,5,3,1,1,0.24,81,52,0,2,7,0,0,0.22,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testEmptyFooDelimited,0,4,3,1,1,0.24,102,36,0,4,9,1,1,0.31,0.5,0,0
io.protostuff.ProtostuffBufferedOutputTest.testEmptyFooInner,0,10,4,1,1,0.11,133,101,0,9,20,0,3,0.31,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testEmptyInnerBarDelimited,0,12,5,1,1,0.06,142,121,0,25,20,5,2,0.56,0.71,0,0
io.protostuff.ProtostuffBufferedOutputTest.testEmptyInnerFooDelimited,0,12,5,1,1,0.07,231,121,0,25,20,5,2,0.56,0.71,0,0
io.protostuff.ProtostuffBufferedOutputTest.testFoo,0,32,4,1,1,0.04,272,212,0,74,37,2,5,0.67,0.29,1,0
io.protostuff.ProtostuffBufferedOutputTest.testFooDelimited,0,35,6,1,1,0.03,277,248,0,87,51,5,7,0.63,0.42,0,0
io.protostuff.ProtostuffBufferedOutputTest.testFooSkipMessage,0,36,4,1,1,0.03,276,243,0,82,44,7,4,0.65,0.64,0,0
io.protostuff.ProtostuffBufferedOutputTest.testJavaSerializable,0,43,9,1,1,0.14,195,309,0,77,54,1,7,0.59,0.12,0,0
io.protostuff.ProtostuffBufferedOutputTest.testJavaSerializableEmptyBar,0,4,3,1,1,0.79,75,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtostuffBufferedOutputTest.testJavaSerializableEmptyBarInner,0,18,6,1,1,0.19,139,179,0,29,32,0,5,0.48,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testJavaSerializableEmptyFoo,0,4,3,1,1,0.79,99,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtostuffBufferedOutputTest.testJavaSerializableEmptyFoo2,0,4,3,1,1,0.79,104,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtostuffBufferedOutputTest.testJavaSerializableEmptyFooInner,0,4,3,1,1,0.79,109,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtostuffBufferedOutputTest.testJavaSerializableGraphIOUtil,0,13,7,1,1,0.27,41,136,0,31,29,4,3,0.52,0.57,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyBar,0,13,4,1,1,0.09,83,119,0,10,24,0,4,0.29,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyBarInner,0,13,4,1,1,0.07,83,119,0,12,22,0,4,0.35,0,0,0
